route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
D,DS,DS189,Santo Ovídio,1,,DR
D,DS,DS190,Santo Ovídio,1,,DR
D,DS,DS191,Santo Ovídio,1,,DR
D,DS,DS192,Santo Ovídio,1,,DR
D,DS,DS193,Santo Ovídio,1,,DR
D,DS,DS194,Santo Ovídio,1,,DR
D,DS,DS195,Santo Ovídio,1,,DR
D,DS,DS196,Santo Ovídio,1,,DR
D,DS,DS197,Santo Ovídio,1,,DR
D,DS,DS198,Santo Ovídio,1,,DR
D,DS,DS199,Santo Ovídio,1,,DR
D,DS,DS200,Santo Ovídio,1,,DR
D,DS,DS201,Santo Ovídio,1,,DR
D,DS,DS202,Santo Ovídio,1,,DR
D,DS,DS203,Santo Ovídio,1,,DR
D,DS,DS204,Santo Ovídio,1,,DR
D,DS,DS205,Santo Ovídio,1,,DR
D,DS,DS206,Santo Ovídio,1,,DR
D,DS,DS207,Santo Ovídio,1,,DR
D,DS,DS208,Santo Ovídio,1,,DR
D,DS,DS209,Santo Ovídio,1,,DR
D,DS,DS210,Santo Ovídio,1,,DR
D,DS,DS211,Santo Ovídio,1,,DR
D,DS,DS212,Santo Ovídio,1,,DR
D,DS,DS213,Santo Ovídio,1,,DR
D,DS,DS214,Santo Ovídio,1,,DR
D,DS,DS215,Santo Ovídio,1,,DR
D,DS,DS216,Santo Ovídio,1,,DR
D,DS,DS217,Santo Ovídio,1,,DR
D,DS,DS218,Santo Ovídio,1,,DR
D,DS,DS219,Santo Ovídio,1,,DR
D,DS,DS220,Santo Ovídio,1,,DR
D,DS,DS221,Santo Ovídio,1,,DR
D,DU,DU169,Santo Ovídio,1,,DR
D,DU,DU170,Santo Ovídio,1,,DR
D,DU,DU171,Santo Ovídio,1,,DR
D,DU,DU172,Santo Ovídio,1,,DR
D,DU,DU173,Santo Ovídio,1,,DR
D,DU,DU174,Santo Ovídio,1,,DR
D,DU,DU175,Santo Ovídio,1,,DR
D,DU,DU176,Santo Ovídio,1,,DR
D,DU,DU177,Santo Ovídio,1,,DR
D,DU,DU178,Santo Ovídio,1,,DR
D,DU,DU179,Santo Ovídio,1,,DR
D,DU,DU180,Santo Ovídio,1,,DR
D,DU,DU181,Santo Ovídio,1,,DR
D,DU,DU182,Santo Ovídio,1,,DR
D,DU,DU183,Santo Ovídio,1,,DR
D,DU,DU184,Santo Ovídio,1,,DR
D,DU,DU185,Santo Ovídio,1,,DR
D,DU,DU186,Santo Ovídio,1,,DR
D,DU,DU187,Santo Ovídio,1,,DR
D,DU,DU188,Santo Ovídio,1,,DR
D,DU,DU189,Santo Ovídio,1,,DR
D,DU,DU190,Santo Ovídio,1,,DR
D,DU,DU191,Santo Ovídio,1,,DR
D,DU,DU192,Santo Ovídio,1,,DR
D,DU,DU193,Santo Ovídio,1,,DR
D,DU,DU194,Santo Ovídio,1,,DR
D,DU,DU195,Santo Ovídio,1,,DR
D,DU,DU196,Santo Ovídio,1,,DR
D,DU,DU197,Santo Ovídio,1,,DR
